uniqueID,DraftYear,"Player Name (Last Name, First Name)",Position,Height in Ft & In,Weight in lbs,Standing vertical Jump,Maximum Vertical Jump (with steps),three-quarter court sprint,lane agility drill,Bench Press test,Drafted?,Player
706,2014,"Ross, LaQuinton",SF,"6'6""",238.7,25.0,31.0,3.44,11.97,,No,LaQuinton Ross
707,2014,"Smart, Marcus",PG,"6'2""",227.2,33.0,36.0,3.26,10.82,,Yes,Marcus Smart
708,2014,"Smith, Russ",PG,"5'12""",160.0,29.5,34.0,3.27,11.57,,Yes,Russ Smith
709,2014,"Stauskas, Nik",SG,"6'5""",206.9,29.0,35.5,3.27,10.79,,Yes,Nik Stauskas
710,2014,"Stokes, Jarnell",PF,"6'7""",262.8,31.0,36.0,3.26,11.92,,Yes,Jarnell Stokes
711,2014,"Thames, Xavier",PG,"6'2""",187.0,29.0,32.5,3.48,11.48,,Yes,Xavier Thames
712,2014,"Vonleh, Noah",PF,"6'8""",247.1,31.0,37.0,3.28,11.45,,Yes,Noah Vonleh
713,2014,"Warren, T.J.",SF,"6'7""",220.2,27.0,35.5,3.26,11.1,,No,T.J. Warren
714,2014,"Wilcox, C.J.",SG,"6'4""",201.0,31.0,37.5,3.22,11.3,,No,C.J. Wilcox
715,2014,"Williams, Kendall",PG,"6'2""",183.0,27.0,33.0,,10.83,,No,Kendall Williams
716,2014,"Young, James",SG,"6'5""",213.3,28.0,35.5,,,,Yes,James Young
717,2014,"Young, Patric",PF,"6'8""",246.8,32.0,37.5,3.43,11.18,,No,Patric Young
718,2013,"Adams, Steven",C,"6'11""",254.5,28.5,33.0,3.4,11.85,16.0,Yes,Steven Adams
